,ID,mangaid,subfind_id,ifusize,redshift,lambda_r,star_axis,gas_axis,pa_offset,stel_qual,stel_feature,halpha_qual,halpha_feature
2646,TNG100-483484-IFU-37,1-419533,483484,37,0.07797186811999085,0.5647103262997788,265.0,265.5,0.5,2,0,2,0
2647,TNG100-399520-IFU-37,1-419345,399520,37,0.11720015565939462,0.2679996118881076,249.0,260.5,11.5,2,0,2,0
2648,TNG100-387726-IFU-37,1-401052,387726,37,0.06494120306045695,0.031231865827585782,350.5,169.0,178.5,0,0,1,0
2649,TNG100-519352-IFU-61,1-419369,519352,61,0.02367273249664896,0.5352832655303311,190.0,194.5,4.5,1,0,0,0
2650,TNG100-31368-IFU-61,1-414400,31368,61,0.06930625013661047,0.4987971009399062,82.5,,,1,0,0,0
2651,TNG100-469377-IFU-61,1-419288,469377,61,0.08363552918166406,0.4460647322071293,319.0,315.5,3.5,2,0,2,0
2652,TNG100-573867-IFU-127,1-419301,573867,127,0.032568636524316665,0.7903027490952442,258.5,262.0,3.5,2,0,2,0
2653,TNG100-131054-IFU-127,1-419450,131054,127,0.06376962361146217,0.7342551639596119,168.0,216.0,48.0,1,0,1,0
2654,TNG100-228709-IFU-19,1-419607,228709,19,0.02098835909931897,0.104412398794736,33.0,,,1,0,0,0
2655,TNG100-628335-IFU-37,1-633832,628335,37,0.031176755411633176,0.6077963174143702,200.0,205.5,5.5,2,0,2,0
2656,TNG100-168391-IFU-37,1-134848,168391,37,0.055685260586070255,0.4057467316321493,75.5,300.0,135.5,1,0,1,0
2657,TNG100-341356-IFU-61,1-134884,341356,61,0.0976525193095322,0.4889284763633608,335.5,313.5,22.0,1,0,0,0
2658,TNG100-502461-IFU-91,1-134954,502461,91,0.02844813026276798,0.6802634552707042,58.0,321.5,96.5,2,0,2,0
2659,TNG100-426764-IFU-127,1-134503,426764,127,0.10774760403577216,0.42686007500938267,105.0,138.5,33.5,1,0,1,0
2660,TNG100-425338-IFU-127,1-135207,425338,127,0.029919174982650624,0.8141891687823244,10.0,41.5,31.5,2,0,2,0
2661,TNG100-599855-IFU-127,1-134964,599855,127,0.0427211018734665,0.6743798002722984,88.5,78.0,10.5,1,0,1,0
2662,TNG100-268909-IFU-19,1-134978,268909,19,0.03088159534207667,0.1821523885702368,241.5,,,1,0,0,0
2663,TNG100-467576-IFU-37,1-93858,467576,37,0.040191987750282966,0.6784746160327555,103.0,108.0,5.0,1,0,1,0
2664,TNG100-662891-IFU-37,1-210323,662891,37,0.03799019822569648,0.4814988919467601,153.0,133.5,19.5,0,0,0,0
2665,TNG100-420172-IFU-19,1-134994,420172,19,0.06465094238598214,0.21886034029967102,313.0,317.0,4.0,2,0,2,0
2666,TNG100-186944-IFU-19,1-93872,186944,19,0.04194029352186971,0.29468604656881225,226.5,,,2,0,0,0
2667,TNG100-664639-IFU-37,1-93908,664639,37,0.03673927527450963,0.4873708309334551,349.0,7.5,18.5,2,0,2,0
2668,TNG100-445092-IFU-37,1-134924,445092,37,0.11412570480079295,0.626064139157963,293.5,284.0,9.5,1,0,1,0
2669,TNG100-161183-IFU-37,1-93903,161183,37,0.0401900234421673,0.4582499474429538,219.5,269.0,49.5,2,0,1,0
2670,TNG100-395153-IFU-61,1-43188,395153,61,0.04186906833940719,0.6442362308038987,115.0,203.0,88.0,1,0,0,0
2671,TNG100-471420-IFU-61,1-43285,471420,61,0.05020976388819842,0.7904736916170558,200.0,161.5,38.5,2,0,1,0
2672,TNG100-118729-IFU-91,1-43361,118729,91,0.03880290367424123,0.3787432918134465,305.5,,,1,0,0,0
2673,TNG100-594800-IFU-127,1-43311,594800,127,0.04354759377487753,0.7334446335429308,104.0,108.0,4.0,2,0,2,0
2674,TNG100-613756-IFU-127,1-338593,613756,127,0.040054497787728335,0.6777272490851693,186.0,165.0,21.0,1,0,1,0
2675,TNG100-602101-IFU-127,1-43268,602101,127,0.037985620216735634,0.8717955720392354,138.5,113.5,25.0,2,0,2,0
